Cancer site grouping,"Calendar 
period of
diagnosis",Sex,"Age
group","Years 
since 
diagnosis","Cases 
analysed","Deaths 
within 10 years","Censored 
within 10 years","Patients 
remaining at risk 
at timepoint T","Observed 
survival (%)","Lower 95% CI
for observed 
survival","Upper 95% CI
for observed 
survival","Net 
survival (%)","Lower 95% CI 
for net survival","Upper 95% CI 
for net survival"
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-99,10,750,671,0,79,10.5,8.5,12.9,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-74 ICSS,1,594,515,0,244,33.8,30.3,37.6,34.0,30.6,37.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-74 ICSS,5,594,515,0,111,13.2,11.0,15.8,13.5,11.2,16.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-74 ICSS,10,594,515,0,79,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-99 ICSS,1,750,671,0,253,*26.2,*23.8,*28.8,*22.2,*19.8,*24.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-99 ICSS,5,750,671,0,113,*9.9,*8.3,*11.7,*9.1,*7.5,*11.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2003-2007,Female,15-99 ICSS,10,750,671,0,79,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-44,1,175,107,57,143,81.7,75.1,86.7,81.8,76.3,87.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-44,5,175,107,57,83,47.9,40.4,55.1,48.4,41.5,56.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-44,10,175,107,57,11,36.1,28.5,43.7,36.8,29.8,45.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,45-54,1,193,173,18,123,63.7,56.5,70.1,64.0,57.6,71.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,45-54,5,193,173,18,28,14.5,10.0,19.9,14.9,10.6,20.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,45-54,10,193,173,18,2,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,55-64,1,268,254,10,114,42.5,36.6,48.4,43.0,37.4,49.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,55-64,5,268,254,10,26,9.7,6.5,13.6,10.3,7.1,14.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,55-64,10,268,254,10,4,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,65-74,1,292,286,4,60,20.5,16.1,25.4,21.1,16.8,26.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,65-74,5,292,286,4,9,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,65-74,10,292,286,4,2,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,75-99,1,218,218,0,11,5.0,2.7,8.5,5.3,3.0,9.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,75-99,5,218,218,0,0,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,75-99,10,218,218,0,0,:,:,:,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-74,1,928,820,89,440,47.4,44.2,50.6,47.8,44.7,51.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-74,5,928,820,89,146,15.8,13.6,18.3,16.3,14.1,18.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-74,10,928,820,89,19,10.0,8.0,12.4,10.9,8.7,13.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-99,1,"1,146","1,038",89,451,39.4,36.5,42.2,39.7,37.0,42.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-99,5,"1,146","1,038",89,146,12.8,11.0,14.8,13.2,11.4,15.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-99,10,"1,146","1,038",89,19,8.1,6.5,10.0,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-74 ICSS,1,928,820,89,440,41.0,38.1,44.1,41.4,38.5,44.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-74 ICSS,5,928,820,89,146,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-74 ICSS,10,928,820,89,19,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-99 ICSS,1,"1,146","1,038",89,451,30.6,28.4,32.9,31.0,28.7,33.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-99 ICSS,5,"1,146","1,038",89,146,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Male,15-99 ICSS,10,"1,146","1,038",89,19,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-44,1,130,68,53,115,88.5,81.6,92.9,88.5,83.2,94.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-44,5,130,68,53,72,56.6,47.6,64.7,56.9,48.9,66.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-44,10,130,68,53,9,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,45-54,1,118,93,21,74,62.7,53.3,70.7,62.9,54.8,72.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,45-54,5,118,93,21,29,24.6,17.2,32.6,25.0,18.3,34.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,45-54,10,118,93,21,4,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,55-64,1,172,160,10,71,41.3,33.9,48.5,41.6,34.8,49.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,55-64,5,172,160,10,13,7.7,4.3,12.4,8.0,4.8,13.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,55-64,10,172,160,10,2,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,65-74,1,226,221,3,43,19.0,14.2,24.4,19.4,14.8,25.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,65-74,5,226,221,3,7,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,65-74,10,226,221,3,2,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,75-99,1,207,205,2,19,9.2,5.7,13.6,9.9,6.5,15.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,75-99,5,207,205,2,3,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,75-99,10,207,205,2,0,:,:,:,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-74,1,646,542,87,303,46.9,43.0,50.7,47.2,43.4,51.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-74,5,646,542,87,121,19.0,16.1,22.2,19.4,16.5,22.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-74,10,646,542,87,17,14.8,11.9,17.9,15.6,12.8,19.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-99,1,853,747,89,322,37.7,34.5,41.0,38.1,35.0,41.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-99,5,853,747,89,124,14.8,12.5,17.2,15.2,12.9,18.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-99,10,853,747,89,17,11.4,9.2,13.9,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-74 ICSS,1,646,542,87,303,40.5,37.1,44.2,40.7,37.3,44.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-74 ICSS,5,646,542,87,121,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-74 ICSS,10,646,542,87,17,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-99 ICSS,1,853,747,89,322,31.4,28.8,34.3,31.8,29.1,34.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-99 ICSS,5,853,747,89,124,*10.0,*8.6,*11.7,*10.5,*9.0,*12.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2008-2012,Female,15-99 ICSS,10,853,747,89,17,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-44,1,191,77,114,168,88.0,82.4,91.8,88.1,83.6,92.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-44,5,191,77,114,21,49.0,39.3,58.1,49.5,40.9,59.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-44,10,191,77,114,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,45-54,1,171,114,57,106,62.0,54.3,68.8,62.3,55.4,70.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,45-54,5,171,114,57,8,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,45-54,10,171,114,57,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,55-64,1,255,216,39,128,50.2,43.9,56.1,50.7,44.9,57.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,55-64,5,255,216,39,0,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,55-64,10,255,216,39,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,65-74,1,334,309,25,90,27.1,22.5,32.0,27.8,23.3,33.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,65-74,5,334,309,25,2,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,65-74,10,334,309,25,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,75-99,1,253,250,3,18,7.1,4.4,10.7,7.6,4.9,11.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,75-99,5,253,250,3,1,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,75-99,10,253,250,3,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-74,1,951,716,235,492,51.8,48.6,54.9,52.3,49.1,55.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-74,5,951,716,235,31,17.0,13.9,20.2,17.4,14.4,20.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-74,10,951,716,235,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-99,1,"1,204",966,238,510,42.4,39.6,45.2,42.9,40.1,45.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-99,5,"1,204",966,238,32,13.3,11.0,16.0,13.9,11.5,16.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-99,10,"1,204",966,238,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-74 ICSS,1,951,716,235,492,46.5,43.5,49.7,47.0,44.0,50.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-74 ICSS,5,951,716,235,31,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-74 ICSS,10,951,716,235,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-99 ICSS,1,"1,204",966,238,510,35.1,32.8,37.5,35.6,33.2,38.1
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-99 ICSS,5,"1,204",966,238,32,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Male,15-99 ICSS,10,"1,204",966,238,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-44,1,148,48,100,131,89.2,82.9,93.2,89.2,84.4,94.4
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-44,5,148,48,100,16,53.4,40.7,64.5,53.6,43.0,66.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-44,10,148,48,100,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,45-54,1,119,86,33,66,55.5,46.1,63.9,55.6,47.4,65.3
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,45-54,5,119,86,33,7,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,45-54,10,119,86,33,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,55-64,1,186,160,26,76,40.9,33.8,47.8,41.1,34.6,48.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,55-64,5,186,160,26,1,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,55-64,10,186,160,26,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,65-74,1,235,213,22,64,27.2,21.7,33.0,27.6,22.5,34.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,65-74,5,235,213,22,2,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,65-74,10,235,213,22,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,75-99,1,233,228,5,13,5.6,3.1,9.0,5.9,3.5,9.9
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,75-99,5,233,228,5,0,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,75-99,10,233,228,5,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-74,1,688,507,181,337,49.1,45.3,52.8,49.3,45.7,53.2
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-74,5,688,507,181,26,19.1,15.5,23.1,19.5,16.0,23.8
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-74,10,688,507,181,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-99,1,921,735,186,350,38.1,34.9,41.2,38.4,35.3,41.7
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-99,5,921,735,186,26,14.6,11.8,17.7,15.1,12.3,18.5
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-99,10,921,735,186,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-74 ICSS,1,688,507,181,337,42.5,39.0,46.3,42.8,39.3,46.6
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-74 ICSS,5,688,507,181,26,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-74 ICSS,10,688,507,181,0,z,z,z,z,z,z
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-99 ICSS,1,921,735,186,350,31.8,29.2,34.6,32.1,29.5,35.0
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-99 ICSS,5,921,735,186,26,:,:,:,:,:,:
"Brain and other CNS (ICD-9 191-192; ICD-10 C70-C72, C75.1-C75.3)",2013-2017,Female,15-99 ICSS,10,921,735,186,0,z,z,z,z,z,z
